property,version,outcome
assets-dec-onlyif-deposit,v1,N!
assets-dec-onlyif-deposit,v10,N!
assets-dec-onlyif-deposit,v11,N!
assets-dec-onlyif-deposit,v12,N!
assets-dec-onlyif-deposit,v13,N!
assets-dec-onlyif-deposit,v14,N!
assets-dec-onlyif-deposit,v15,N!
assets-dec-onlyif-deposit,v16,N!
assets-dec-onlyif-deposit,v17,P!
assets-dec-onlyif-deposit,v2,N!
assets-dec-onlyif-deposit,v3,N!
assets-dec-onlyif-deposit,v4,P!
assets-dec-onlyif-deposit,v5,N!
assets-dec-onlyif-deposit,v6,P!
assets-dec-onlyif-deposit,v7,P!
assets-dec-onlyif-deposit,v8,N!
assets-dec-onlyif-deposit,v9,N!
assets-inc-onlyif-withdraw,v1,N!
assets-inc-onlyif-withdraw,v10,N!
assets-inc-onlyif-withdraw,v11,N!
assets-inc-onlyif-withdraw,v12,N!
assets-inc-onlyif-withdraw,v13,N!
assets-inc-onlyif-withdraw,v14,N!
assets-inc-onlyif-withdraw,v15,N!
assets-inc-onlyif-withdraw,v16,N!
assets-inc-onlyif-withdraw,v17,N!
assets-inc-onlyif-withdraw,v2,N!
assets-inc-onlyif-withdraw,v3,N!
assets-inc-onlyif-withdraw,v4,N!
assets-inc-onlyif-withdraw,v5,N!
assets-inc-onlyif-withdraw,v6,N!
assets-inc-onlyif-withdraw,v7,N!
assets-inc-onlyif-withdraw,v8,N!
assets-inc-onlyif-withdraw,v9,N!
credit-dec-onlyif-withdraw,v1,P!
credit-dec-onlyif-withdraw,v10,P!
credit-dec-onlyif-withdraw,v11,P!
credit-dec-onlyif-withdraw,v12,P!
credit-dec-onlyif-withdraw,v13,P!
credit-dec-onlyif-withdraw,v14,P!
credit-dec-onlyif-withdraw,v15,P!
credit-dec-onlyif-withdraw,v16,P!
credit-dec-onlyif-withdraw,v17,P!
credit-dec-onlyif-withdraw,v2,P!
credit-dec-onlyif-withdraw,v3,P!
credit-dec-onlyif-withdraw,v4,P!
credit-dec-onlyif-withdraw,v5,P!
credit-dec-onlyif-withdraw,v6,P!
credit-dec-onlyif-withdraw,v7,P!
credit-dec-onlyif-withdraw,v8,P!
credit-dec-onlyif-withdraw,v9,P!
credit-inc-onlyif-deposit,v1,P!
credit-inc-onlyif-deposit,v10,P!
credit-inc-onlyif-deposit,v11,P!
credit-inc-onlyif-deposit,v12,P!
credit-inc-onlyif-deposit,v13,P!
credit-inc-onlyif-deposit,v14,P!
credit-inc-onlyif-deposit,v15,P!
credit-inc-onlyif-deposit,v16,P!
credit-inc-onlyif-deposit,v17,P!
credit-inc-onlyif-deposit,v2,P!
credit-inc-onlyif-deposit,v3,P!
credit-inc-onlyif-deposit,v4,P!
credit-inc-onlyif-deposit,v5,P!
credit-inc-onlyif-deposit,v6,P!
credit-inc-onlyif-deposit,v7,P!
credit-inc-onlyif-deposit,v8,P!
credit-inc-onlyif-deposit,v9,P!
deposit-assets-credit,v1,N!
deposit-assets-credit,v10,N!
deposit-assets-credit,v11,N!
deposit-assets-credit,v12,N!
deposit-assets-credit,v13,N!
deposit-assets-credit,v14,N!
deposit-assets-credit,v15,N!
deposit-assets-credit,v16,N!
deposit-assets-credit,v17,N!
deposit-assets-credit,v2,N!
deposit-assets-credit,v3,N!
deposit-assets-credit,v4,N!
deposit-assets-credit,v5,N!
deposit-assets-credit,v6,N!
deposit-assets-credit,v7,N!
deposit-assets-credit,v8,N!
deposit-assets-credit,v9,N!
deposit-assets-credit-others,v1,P!
deposit-assets-credit-others,v10,P!
deposit-assets-credit-others,v11,P!
deposit-assets-credit-others,v12,P!
deposit-assets-credit-others,v13,P!
deposit-assets-credit-others,v14,P!
deposit-assets-credit-others,v15,P!
deposit-assets-credit-others,v16,P!
deposit-assets-credit-others,v17,P!
deposit-assets-credit-others,v2,P!
deposit-assets-credit-others,v3,P!
deposit-assets-credit-others,v4,P!
deposit-assets-credit-others,v5,P!
deposit-assets-credit-others,v6,P!
deposit-assets-credit-others,v7,P!
deposit-assets-credit-others,v8,P!
deposit-assets-credit-others,v9,P!
deposit-assets-transfer-others,v1,P!
deposit-assets-transfer-others,v10,P!
deposit-assets-transfer-others,v11,P!
deposit-assets-transfer-others,v12,P!
deposit-assets-transfer-others,v13,P!
deposit-assets-transfer-others,v14,P!
deposit-assets-transfer-others,v15,P!
deposit-assets-transfer-others,v16,P!
deposit-assets-transfer-others,v17,P!
deposit-assets-transfer-others,v2,P!
deposit-assets-transfer-others,v3,P!
deposit-assets-transfer-others,v4,P!
deposit-assets-transfer-others,v5,P!
deposit-assets-transfer-others,v6,P!
deposit-assets-transfer-others,v7,P!
deposit-assets-transfer-others,v8,P!
deposit-assets-transfer-others,v9,P!
deposit-contract-balance,v1,P!
deposit-contract-balance,v10,P!
deposit-contract-balance,v11,P!
deposit-contract-balance,v12,P!
deposit-contract-balance,v13,P!
deposit-contract-balance,v14,P!
deposit-contract-balance,v15,P!
deposit-contract-balance,v16,P!
deposit-contract-balance,v17,P!
deposit-contract-balance,v2,P!
deposit-contract-balance,v3,P!
deposit-contract-balance,v4,P!
deposit-contract-balance,v5,P!
deposit-contract-balance,v6,P!
deposit-contract-balance,v7,P!
deposit-contract-balance,v8,P!
deposit-contract-balance,v9,P!
deposit-not-revert-external,v1,P!
deposit-not-revert-external,v10,P!
deposit-not-revert-external,v11,P!
deposit-not-revert-external,v12,P!
deposit-not-revert-external,v13,N!
deposit-not-revert-external,v14,P!
deposit-not-revert-external,v15,P!
deposit-not-revert-external,v16,N!
deposit-not-revert-external,v17,P!
deposit-not-revert-external,v2,P!
deposit-not-revert-external,v3,N!
deposit-not-revert-external,v4,N!
deposit-not-revert-external,v5,P!
deposit-not-revert-external,v6,P!
deposit-not-revert-external,v7,N!
deposit-not-revert-external,v8,P!
deposit-not-revert-external,v9,P!
deposit-not-revert,v1,P!
deposit-not-revert,v10,P!
deposit-not-revert,v11,P!
deposit-not-revert,v12,P!
deposit-not-revert,v13,P!
deposit-not-revert,v14,P!
deposit-not-revert,v15,P!
deposit-not-revert,v16,P!
deposit-not-revert,v17,P!
deposit-not-revert,v2,P!
deposit-not-revert,v3,P!
deposit-not-revert,v4,P!
deposit-not-revert,v5,P!
deposit-not-revert,v6,P!
deposit-not-revert,v7,P!
deposit-not-revert,v8,P!
deposit-not-revert,v9,P!
deposit-revert,v1,P!
deposit-revert,v10,P!
deposit-revert,v11,P!
deposit-revert,v12,P!
deposit-revert,v13,UNK
deposit-revert,v14,P!
deposit-revert,v15,P!
deposit-revert,v16,P!
deposit-revert,v17,P!
deposit-revert,v2,P!
deposit-revert,v3,P!
deposit-revert,v4,P!
deposit-revert,v5,P!
deposit-revert,v6,P!
deposit-revert,v7,P!
deposit-revert,v8,P!
deposit-revert,v9,P!
withdraw-assets-credit-others,v1,P!
withdraw-assets-credit-others,v10,P!
withdraw-assets-credit-others,v11,P!
withdraw-assets-credit-others,v12,P!
withdraw-assets-credit-others,v13,P!
withdraw-assets-credit-others,v14,P!
withdraw-assets-credit-others,v15,P!
withdraw-assets-credit-others,v16,P!
withdraw-assets-credit-others,v17,P!
withdraw-assets-credit-others,v2,P!
withdraw-assets-credit-others,v3,P!
withdraw-assets-credit-others,v4,P!
withdraw-assets-credit-others,v5,P!
withdraw-assets-credit-others,v6,P!
withdraw-assets-credit-others,v7,P!
withdraw-assets-credit-others,v8,P!
withdraw-assets-credit-others,v9,P!
withdraw-assets-transfer-others,v1,P!
withdraw-assets-transfer-others,v10,P!
withdraw-assets-transfer-others,v11,P!
withdraw-assets-transfer-others,v12,P!
withdraw-assets-transfer-others,v13,P!
withdraw-assets-transfer-others,v14,P!
withdraw-assets-transfer-others,v15,P!
withdraw-assets-transfer-others,v16,P!
withdraw-assets-transfer-others,v17,P!
withdraw-assets-transfer-others,v2,P!
withdraw-assets-transfer-others,v3,P!
withdraw-assets-transfer-others,v4,P!
withdraw-assets-transfer-others,v5,P!
withdraw-assets-transfer-others,v6,P!
withdraw-assets-transfer-others,v7,P!
withdraw-assets-transfer-others,v8,P!
withdraw-assets-transfer-others,v9,P!
withdraw-contract-balance,v1,P!
withdraw-contract-balance,v10,P!
withdraw-contract-balance,v11,P!
withdraw-contract-balance,v12,N!
withdraw-contract-balance,v13,P!
withdraw-contract-balance,v14,P!
withdraw-contract-balance,v15,P!
withdraw-contract-balance,v16,N!
withdraw-contract-balance,v17,P!
withdraw-contract-balance,v2,P!
withdraw-contract-balance,v3,P!
withdraw-contract-balance,v4,P!
withdraw-contract-balance,v5,P!
withdraw-contract-balance,v6,P!
withdraw-contract-balance,v7,P!
withdraw-contract-balance,v8,P!
withdraw-contract-balance,v9,P!
withdraw-revert,v1,P!
withdraw-revert,v10,P!
withdraw-revert,v11,P!
withdraw-revert,v12,P!
withdraw-revert,v13,P!
withdraw-revert,v14,P!
withdraw-revert,v15,P!
withdraw-revert,v16,N!
withdraw-revert,v17,P!
withdraw-revert,v2,P!
withdraw-revert,v3,P!
withdraw-revert,v4,P!
withdraw-revert,v5,P!
