property,version,outcome
deadlock-freedom-join1,v1,P
deadlock-freedom-join1,v10,P
deadlock-freedom-join1,v11,P
deadlock-freedom-join1,v12,P
deadlock-freedom-join1,v13,P
deadlock-freedom-join1,v14,P
deadlock-freedom-join1,v15,P
deadlock-freedom-join1,v16,P
deadlock-freedom-join1,v17,P
deadlock-freedom-join1,v18,P
deadlock-freedom-join1,v19,P
deadlock-freedom-join1,v2,N!
deadlock-freedom-join1,v22,P
deadlock-freedom-join1,v23,P
deadlock-freedom-join1,v24,P
deadlock-freedom-join1,v3,P
deadlock-freedom-join1,v4,P
deadlock-freedom-join1,v5,P
deadlock-freedom-join1,v6,P
deadlock-freedom-join1,v7,P
deadlock-freedom-join1,v8,P
deadlock-freedom-join1,v9,P
deadlock-freedom-reveal0,v1,P
deadlock-freedom-reveal0,v10,P
deadlock-freedom-reveal0,v11,P
deadlock-freedom-reveal0,v12,P
deadlock-freedom-reveal0,v13,P
deadlock-freedom-reveal0,v14,P
deadlock-freedom-reveal0,v15,P
deadlock-freedom-reveal0,v16,P
deadlock-freedom-reveal0,v17,P
deadlock-freedom-reveal0,v18,P
deadlock-freedom-reveal0,v19,P
deadlock-freedom-reveal0,v2,P
deadlock-freedom-reveal0,v22,P
deadlock-freedom-reveal0,v23,P
deadlock-freedom-reveal0,v24,P
deadlock-freedom-reveal0,v3,N!
deadlock-freedom-reveal0,v4,P
deadlock-freedom-reveal0,v5,P
deadlock-freedom-reveal0,v6,P
deadlock-freedom-reveal0,v7,P
deadlock-freedom-reveal0,v8,P
deadlock-freedom-reveal0,v9,P
deadlock-freedom-reveal1,v1,P
deadlock-freedom-reveal1,v10,P
deadlock-freedom-reveal1,v11,P
deadlock-freedom-reveal1,v12,P
deadlock-freedom-reveal1,v13,P
deadlock-freedom-reveal1,v14,P
deadlock-freedom-reveal1,v15,P
deadlock-freedom-reveal1,v16,P
deadlock-freedom-reveal1,v17,P
deadlock-freedom-reveal1,v18,P
deadlock-freedom-reveal1,v19,P
deadlock-freedom-reveal1,v2,P
deadlock-freedom-reveal1,v22,P
deadlock-freedom-reveal1,v23,P
deadlock-freedom-reveal1,v24,P
deadlock-freedom-reveal1,v3,P
deadlock-freedom-reveal1,v4,N!
deadlock-freedom-reveal1,v5,P
deadlock-freedom-reveal1,v6,P
deadlock-freedom-reveal1,v7,P
deadlock-freedom-reveal1,v8,P
deadlock-freedom-reveal1,v9,P
deadlock-freedom-win,v1,P
deadlock-freedom-win,v10,P
deadlock-freedom-win,v11,P
deadlock-freedom-win,v12,P
deadlock-freedom-win,v13,P
deadlock-freedom-win,v14,P
deadlock-freedom-win,v15,P
deadlock-freedom-win,v16,P
deadlock-freedom-win,v17,P
deadlock-freedom-win,v18,P
deadlock-freedom-win,v19,P
deadlock-freedom-win,v2,P
deadlock-freedom-win,v22,P
deadlock-freedom-win,v23,P
deadlock-freedom-win,v24,P
deadlock-freedom-win,v3,P
deadlock-freedom-win,v4,P
deadlock-freedom-win,v5,N!
deadlock-freedom-win,v6,P
deadlock-freedom-win,v7,P
deadlock-freedom-win,v8,P
deadlock-freedom-win,v9,P
honest-player-profitability-eoa-redeem0-nojoin1,v1,P
honest-player-profitability-eoa-redeem0-nojoin1,v10,P
honest-player-profitability-eoa-redeem0-nojoin1,v11,P
honest-player-profitability-eoa-redeem0-nojoin1,v12,P
honest-player-profitability-eoa-redeem0-nojoin1,v13,P
honest-player-profitability-eoa-redeem0-nojoin1,v14,P
honest-player-profitability-eoa-redeem0-nojoin1,v15,P
honest-player-profitability-eoa-redeem0-nojoin1,v16,P
honest-player-profitability-eoa-redeem0-nojoin1,v17,P
honest-player-profitability-eoa-redeem0-nojoin1,v18,P
honest-player-profitability-eoa-redeem0-nojoin1,v19,P
honest-player-profitability-eoa-redeem0-nojoin1,v2,N!
honest-player-profitability-eoa-redeem0-nojoin1,v22,P
honest-player-profitability-eoa-redeem0-nojoin1,v23,P
honest-player-profitability-eoa-redeem0-nojoin1,v24,P
honest-player-profitability-eoa-redeem0-nojoin1,v3,P
