property,version,outcome
deadlock-freedom-join1,v1,N!
deadlock-freedom-join1,v10,N!
deadlock-freedom-join1,v11,N!
deadlock-freedom-join1,v12,N!
deadlock-freedom-join1,v13,N!
deadlock-freedom-join1,v14,N!
deadlock-freedom-join1,v15,N!
deadlock-freedom-join1,v16,N!
deadlock-freedom-join1,v17,N!
deadlock-freedom-join1,v18,N!
deadlock-freedom-join1,v19,N!
deadlock-freedom-join1,v2,N!
deadlock-freedom-join1,v20,N!
deadlock-freedom-join1,v21,N!
deadlock-freedom-join1,v22,N!
deadlock-freedom-join1,v3,N!
deadlock-freedom-join1,v4,N!
deadlock-freedom-join1,v5,N!
deadlock-freedom-join1,v6,N!
deadlock-freedom-join1,v7,N!
deadlock-freedom-join1,v8,N!
deadlock-freedom-join1,v9,N!
deadlock-freedom-reveal0,v1,N!
deadlock-freedom-reveal0,v10,N!
deadlock-freedom-reveal0,v11,N!
deadlock-freedom-reveal0,v12,N!
deadlock-freedom-reveal0,v13,N!
deadlock-freedom-reveal0,v14,N!
deadlock-freedom-reveal0,v15,N!
deadlock-freedom-reveal0,v16,N!
deadlock-freedom-reveal0,v17,N!
deadlock-freedom-reveal0,v18,N!
deadlock-freedom-reveal0,v19,N!
deadlock-freedom-reveal0,v2,N!
deadlock-freedom-reveal0,v20,N!
deadlock-freedom-reveal0,v21,N!
deadlock-freedom-reveal0,v22,N!
deadlock-freedom-reveal0,v3,N!
deadlock-freedom-reveal0,v4,N!
deadlock-freedom-reveal0,v5,N!
deadlock-freedom-reveal0,v6,N!
deadlock-freedom-reveal0,v7,N!
deadlock-freedom-reveal0,v8,N!
deadlock-freedom-reveal0,v9,N!
deadlock-freedom-reveal1,v1,N!
deadlock-freedom-reveal1,v10,N!
deadlock-freedom-reveal1,v11,N!
deadlock-freedom-reveal1,v12,N!
deadlock-freedom-reveal1,v13,N!
deadlock-freedom-reveal1,v14,N!
deadlock-freedom-reveal1,v15,N!
deadlock-freedom-reveal1,v16,P!
deadlock-freedom-reveal1,v17,N!
deadlock-freedom-reveal1,v18,N!
deadlock-freedom-reveal1,v19,N!
deadlock-freedom-reveal1,v2,N!
deadlock-freedom-reveal1,v20,N!
deadlock-freedom-reveal1,v21,N!
deadlock-freedom-reveal1,v22,N!
deadlock-freedom-reveal1,v3,N!
deadlock-freedom-reveal1,v4,N!
deadlock-freedom-reveal1,v5,N!
deadlock-freedom-reveal1,v6,N!
deadlock-freedom-reveal1,v7,N!
deadlock-freedom-reveal1,v8,N!
deadlock-freedom-reveal1,v9,N!
deadlock-freedom-win,v1,N!
deadlock-freedom-win,v10,N!
deadlock-freedom-win,v11,N!
deadlock-freedom-win,v12,N!
deadlock-freedom-win,v13,N!
deadlock-freedom-win,v14,N!
deadlock-freedom-win,v15,N!
deadlock-freedom-win,v16,P!
deadlock-freedom-win,v17,P!
deadlock-freedom-win,v18,N!
deadlock-freedom-win,v19,N!
deadlock-freedom-win,v2,N!
deadlock-freedom-win,v20,N!
deadlock-freedom-win,v21,N!
deadlock-freedom-win,v22,N!
deadlock-freedom-win,v3,N!
deadlock-freedom-win,v4,N!
deadlock-freedom-win,v5,N!
deadlock-freedom-win,v6,N!
deadlock-freedom-win,v7,N!
deadlock-freedom-win,v8,N!
deadlock-freedom-win,v9,N!
player1-should-match-bet,v1,P!
player1-should-match-bet,v10,P!
player1-should-match-bet,v11,P!
player1-should-match-bet,v12,P!
player1-should-match-bet,v13,P!
player1-should-match-bet,v14,P!
player1-should-match-bet,v15,P!
player1-should-match-bet,v16,P!
player1-should-match-bet,v17,P!
player1-should-match-bet,v18,P!
player1-should-match-bet,v19,N!
player1-should-match-bet,v2,P!
player1-should-match-bet,v20,P!
player1-should-match-bet,v21,P!
player1-should-match-bet,v22,P!
player1-should-match-bet,v3,P!
player1-should-match-bet,v4,P!
player1-should-match-bet,v5,P!
player1-should-match-bet,v6,P!
player1-should-match-bet,v7,P!
player1-should-match-bet,v8,P!
player1-should-match-bet,v9,P!
redeem-before-deadline-reverts-nojoin1,v1,P!
redeem-before-deadline-reverts-nojoin1,v10,P!
redeem-before-deadline-reverts-nojoin1,v11,P!
redeem-before-deadline-reverts-nojoin1,v12,P!
redeem-before-deadline-reverts-nojoin1,v13,P!
redeem-before-deadline-reverts-nojoin1,v14,P!
redeem-before-deadline-reverts-nojoin1,v15,P!
redeem-before-deadline-reverts-nojoin1,v16,P!
redeem-before-deadline-reverts-nojoin1,v17,P!
redeem-before-deadline-reverts-nojoin1,v18,P!
redeem-before-deadline-reverts-nojoin1,v19,P!
redeem-before-deadline-reverts-nojoin1,v2,P!
redeem-before-deadline-reverts-nojoin1,v20,P!
redeem-before-deadline-reverts-nojoin1,v21,P!
redeem-before-deadline-reverts-nojoin1,v22,P!
redeem-before-deadline-reverts-nojoin1,v3,P!
redeem-before-deadline-reverts-nojoin1,v4,P!
redeem-before-deadline-reverts-nojoin1,v5,P!
redeem-before-deadline-reverts-nojoin1,v6,P!
redeem-before-deadline-reverts-nojoin1,v7,P!
redeem-before-deadline-reverts-nojoin1,v8,P!
redeem-before-deadline-reverts-nojoin1,v9,P!
redeem-before-deadline-reverts-noreveal0,v1,P!
redeem-before-deadline-reverts-noreveal0,v10,P!
redeem-before-deadline-reverts-noreveal0,v11,P!
redeem-before-deadline-reverts-noreveal0,v12,P!
redeem-before-deadline-reverts-noreveal0,v13,P!
redeem-before-deadline-reverts-noreveal0,v14,P!
redeem-before-deadline-reverts-noreveal0,v15,P!
redeem-before-deadline-reverts-noreveal0,v16,P!
redeem-before-deadline-reverts-noreveal0,v17,P!
redeem-before-deadline-reverts-noreveal0,v18,P!
redeem-before-deadline-reverts-noreveal0,v19,P!
redeem-before-deadline-reverts-noreveal0,v2,P!
redeem-before-deadline-reverts-noreveal0,v20,P!
redeem-before-deadline-reverts-noreveal0,v21,P!
redeem-before-deadline-reverts-noreveal0,v22,P!
redeem-before-deadline-reverts-noreveal0,v3,P!
redeem-before-deadline-reverts-noreveal0,v4,P!
redeem-before-deadline-reverts-noreveal0,v5,P!
