property,version,outcome
deadlock-freedom-join1,v1,UNK
deadlock-freedom-join1,v10,N!
deadlock-freedom-join1,v11,UNK
deadlock-freedom-join1,v12,UNK
deadlock-freedom-join1,v13,UNK
deadlock-freedom-join1,v14,UNK
deadlock-freedom-join1,v15,UNK
deadlock-freedom-join1,v16,UNK
deadlock-freedom-join1,v17,UNK
deadlock-freedom-join1,v18,UNK
deadlock-freedom-join1,v19,N!
deadlock-freedom-join1,v2,N!
deadlock-freedom-join1,v20,N!
deadlock-freedom-join1,v21,N!
deadlock-freedom-join1,v22,N!
deadlock-freedom-join1,v3,UNK
deadlock-freedom-join1,v4,UNK
deadlock-freedom-join1,v5,UNK
deadlock-freedom-join1,v6,UNK
deadlock-freedom-join1,v7,UNK
deadlock-freedom-join1,v8,N!
deadlock-freedom-join1,v9,N!
deadlock-freedom-reveal0,v1,N!
deadlock-freedom-reveal0,v10,N!
deadlock-freedom-reveal0,v11,UNK
deadlock-freedom-reveal0,v12,UNK
deadlock-freedom-reveal0,v13,UNK
deadlock-freedom-reveal0,v14,N!
deadlock-freedom-reveal0,v15,N!
deadlock-freedom-reveal0,v16,UNK
deadlock-freedom-reveal0,v17,UNK
deadlock-freedom-reveal0,v18,UNK
deadlock-freedom-reveal0,v19,UNK
deadlock-freedom-reveal0,v2,UNK
deadlock-freedom-reveal0,v20,UNK
deadlock-freedom-reveal0,v21,UNK
deadlock-freedom-reveal0,v22,UNK
deadlock-freedom-reveal0,v3,UNK
deadlock-freedom-reveal0,v4,UNK
deadlock-freedom-reveal0,v5,UNK
deadlock-freedom-reveal0,v6,N!
deadlock-freedom-reveal0,v7,N!
deadlock-freedom-reveal0,v8,UNK
deadlock-freedom-reveal0,v9,N!
deadlock-freedom-reveal1,v1,UNK
deadlock-freedom-reveal1,v10,UNK
deadlock-freedom-reveal1,v11,UNK
deadlock-freedom-reveal1,v12,UNK
deadlock-freedom-reveal1,v13,UNK
deadlock-freedom-reveal1,v14,UNK
deadlock-freedom-reveal1,v15,UNK
deadlock-freedom-reveal1,v16,P!
deadlock-freedom-reveal1,v17,UNK
deadlock-freedom-reveal1,v18,UNK
deadlock-freedom-reveal1,v19,UNK
deadlock-freedom-reveal1,v2,UNK
deadlock-freedom-reveal1,v20,UNK
deadlock-freedom-reveal1,v21,UNK
deadlock-freedom-reveal1,v22,UNK
deadlock-freedom-reveal1,v3,UNK
deadlock-freedom-reveal1,v4,UNK
deadlock-freedom-reveal1,v5,UNK
deadlock-freedom-reveal1,v6,UNK
deadlock-freedom-reveal1,v7,N!
deadlock-freedom-reveal1,v8,UNK
deadlock-freedom-reveal1,v9,UNK
deadlock-freedom-win,v1,UNK
deadlock-freedom-win,v10,UNK
deadlock-freedom-win,v11,UNK
deadlock-freedom-win,v12,UNK
deadlock-freedom-win,v13,UNK
deadlock-freedom-win,v14,UNK
deadlock-freedom-win,v15,UNK
deadlock-freedom-win,v16,UNK
deadlock-freedom-win,v17,UNK
deadlock-freedom-win,v18,UNK
deadlock-freedom-win,v19,UNK
deadlock-freedom-win,v2,UNK
deadlock-freedom-win,v20,UNK
deadlock-freedom-win,v21,UNK
deadlock-freedom-win,v22,UNK
deadlock-freedom-win,v3,UNK
deadlock-freedom-win,v4,UNK
deadlock-freedom-win,v5,UNK
deadlock-freedom-win,v6,UNK
deadlock-freedom-win,v7,UNK
deadlock-freedom-win,v8,UNK
deadlock-freedom-win,v9,UNK
player1-should-match-bet,v1,P!
player1-should-match-bet,v10,P!
player1-should-match-bet,v11,P!
player1-should-match-bet,v12,P!
player1-should-match-bet,v13,P!
player1-should-match-bet,v14,P!
player1-should-match-bet,v15,P!
player1-should-match-bet,v16,P!
player1-should-match-bet,v17,UNK
player1-should-match-bet,v18,P!
player1-should-match-bet,v19,N!
player1-should-match-bet,v2,P!
player1-should-match-bet,v20,P!
player1-should-match-bet,v21,P!
player1-should-match-bet,v22,P!
player1-should-match-bet,v3,P!
player1-should-match-bet,v4,P!
player1-should-match-bet,v5,P!
player1-should-match-bet,v6,P!
player1-should-match-bet,v7,P!
player1-should-match-bet,v8,UNK
player1-should-match-bet,v9,P!
redeem-before-deadline-reverts-nojoin1,v1,P!
redeem-before-deadline-reverts-nojoin1,v10,P!
redeem-before-deadline-reverts-nojoin1,v11,P!
redeem-before-deadline-reverts-nojoin1,v12,P!
redeem-before-deadline-reverts-nojoin1,v13,P!
redeem-before-deadline-reverts-nojoin1,v14,UNK
redeem-before-deadline-reverts-nojoin1,v15,P!
redeem-before-deadline-reverts-nojoin1,v16,P!
redeem-before-deadline-reverts-nojoin1,v17,UNK
redeem-before-deadline-reverts-nojoin1,v18,P!
