property,version,truth,footnote-md
cancel-not-revert,v1,1,
cancel-not-revert,v10,1,
cancel-not-revert,v11,1,
cancel-not-revert,v2,1,
cancel-not-revert,v3,1,
cancel-not-revert,v4,1,
cancel-not-revert,v5,1,
cancel-not-revert,v6,1,
cancel-not-revert,v7,1,
cancel-not-revert,v8,1,
cancel-not-revert,v9,0,"`cancel` reverts unless it is signed by the owner"
cancel-revert,v1,1,
cancel-revert,v10,1,
cancel-revert,v11,1,
cancel-revert,v2,1,
cancel-revert,v3,1,
cancel-revert,v4,1,
cancel-revert,v5,0,"missing access control in `cancel`"
cancel-revert,v6,1,
cancel-revert,v7,1,
cancel-revert,v8,1,
cancel-revert,v9,0,"`cancel` does not revert if it is signed by the owner"
finalize-assets-transfer-receive,v1,1,
finalize-assets-transfer-receive,v10,0,"transfers `amount`-1 wei"
finalize-assets-transfer-receive,v11,1,
finalize-assets-transfer-receive,v2,1,
finalize-assets-transfer-receive,v3,1,
finalize-assets-transfer-receive,v4,1,
finalize-assets-transfer-receive,v5,1,
finalize-assets-transfer-receive,v6,1,
finalize-assets-transfer-receive,v7,1,
finalize-assets-transfer-receive,v8,0,"`finalize` sends to `owner` instead of `receiver`"
finalize-assets-transfer-receive,v9,1,
finalize-assets-transfer,v1,0,"The low-level call can trigger further transfers"
finalize-assets-transfer,v10,0,
finalize-assets-transfer,v11,0,
finalize-assets-transfer,v2,0,
finalize-assets-transfer,v3,0,
finalize-assets-transfer,v4,0,
finalize-assets-transfer,v5,0,
finalize-assets-transfer,v6,0,
finalize-assets-transfer,v7,0,
finalize-assets-transfer,v8,0,"`finalize` sends to `owner` instead of `receiver`"
finalize-assets-transfer,v9,0,
finalize-before-deadline-revert,v1,1,
finalize-before-deadline-revert,v10,1,
finalize-before-deadline-revert,v11,1,
finalize-before-deadline-revert,v2,1,
finalize-before-deadline-revert,v3,0,"`finalize` does not check the time constraint"
finalize-before-deadline-revert,v4,1,
finalize-before-deadline-revert,v5,1,
finalize-before-deadline-revert,v6,1,
